ROC AUC: 0.4591
FPR,TPR
0.0000,0.0000
0.0000,0.0001
0.0000,0.0024
0.0238,0.0024
0.0238,0.0091
0.0476,0.0091
0.0476,0.0213
0.0714,0.0213
0.0714,0.0262
0.0952,0.0262
0.0952,0.0316
0.0952,0.0320
0.0952,0.0348
0.1190,0.0348
0.1190,0.0351
0.1429,0.0351
0.1429,0.0410
0.1429,0.0412
0.1429,0.0648
0.1667,0.0648
0.1667,0.0689
0.1667,0.0692
0.1667,0.0746
0.1667,0.0748
0.1667,0.0958
0.1667,0.0961
0.1667,0.0974
0.1667,0.0977
0.1667,0.1007
0.1667,0.1009
0.1667,0.1077
0.1905,0.1077
0.1905,0.1152
0.1905,0.1155
0.1905,0.1178
0.1905,0.1181
0.1905,0.1328
0.1905,0.1330
0.1905,0.1419
0.1905,0.1421
0.1905,0.1476
0.1905,0.1479
0.1905,0.1541
0.1905,0.1543
0.1905,0.1669
0.1905,0.1672
0.1905,0.1673
0.2143,0.1673
0.2143,0.1700
0.2143,0.1703
0.2143,0.1803
0.2381,0.1803
0.2381,0.1822
0.2381,0.1824
0.2381,0.1902
0.2381,0.1905
0.2619,0.1905
0.2619,0.1968
0.2619,0.1970
0.2619,0.2065
0.2619,0.2068
0.2619,0.2083
0.2619,0.2085
0.2619,0.2088
0.2619,0.2091
0.2619,0.2170
0.2619,0.2174
0.2619,0.2219
0.2619,0.2222
0.2619,0.2290
0.2619,0.2293
0.2619,0.2356
0.2619,0.2358
0.2619,0.2495
0.2619,0.2498
0.2619,0.2531
0.2619,0.2534
0.2619,0.2553
0.2857,0.2554
0.2857,0.2565
0.2857,0.2567
0.2857,0.2797
0.2857,0.2800
0.2857,0.2933
0.2857,0.2935
0.2857,0.2943
0.3095,0.2943
0.3095,0.3096
0.3095,0.3099
0.3095,0.3279
0.3095,0.3282
0.3095,0.3287
0.3095,0.3290
0.3095,0.3340
0.3095,0.3345
0.3095,0.3365
0.3333,0.3365
0.3333,0.3400
0.3571,0.3400
0.3571,0.3425
0.3571,0.3428
0.3571,0.3429
0.3571,0.3432
0.3571,0.3495
0.3810,0.3495
0.3810,0.3511
0.3810,0.3514
0.3810,0.3519
0.3810,0.3522
0.3810,0.3524
0.3810,0.3527
0.3810,0.3536
0.3810,0.3539
0.3810,0.3606
0.4048,0.3606
0.4048,0.3720
0.4048,0.3722
0.4048,0.3737
0.4048,0.3740
0.4048,0.3761
0.4286,0.3761
0.4286,0.3765
0.4286,0.3768
0.4286,0.3772
0.4286,0.3775
0.4286,0.3858
0.4286,0.3860
0.4286,0.3868
0.4286,0.3871
0.4286,0.3880
0.4286,0.3883
0.4286,0.3900
0.4286,0.3903
0.4286,0.3904
0.4524,0.3904
0.4524,0.3934
0.4762,0.3934
0.4762,0.4020
0.4762,0.4022
0.4762,0.4093
0.4762,0.4096
0.4762,0.4108
0.4762,0.4111
0.4762,0.4202
0.4762,0.4204
0.4762,0.4242
0.4762,0.4244
0.4762,0.4251
0.4762,0.4254
0.4762,0.4404
0.5000,0.4404
0.5000,0.4413
0.5238,0.4413
0.5238,0.4452
0.5238,0.4455
0.5238,0.4544
0.5238,0.4547
0.5238,0.4564
0.5238,0.4567
0.5238,0.4673
0.5476,0.4673
0.5476,0.4687
0.5714,0.4687
0.5714,0.4815
0.5714,0.4817
0.5714,0.4904
0.5714,0.4907
0.5714,0.4944
0.5714,0.4947
0.5714,0.5053
0.5714,0.5056
0.5714,0.5066
0.5714,0.5069
0.5714,0.5148
0.5714,0.5151
0.5714,0.5189
0.5952,0.5189
0.5952,0.5222
0.6190,0.5222
0.6190,0.5394
0.6190,0.5397
0.6190,0.5436
0.6190,0.5438
0.6190,0.5628
0.6190,0.5631
0.6190,0.5710
0.6190,0.5713
0.6190,0.5944
0.6429,0.5944
0.6429,0.6105
0.6429,0.6108
0.6429,0.6169
0.6667,0.6169
0.6667,0.6188
0.6667,0.6191
0.6667,0.6243
0.6667,0.6245
0.6667,0.6541
0.6905,0.6541
0.6905,0.6549
0.7143,0.6549
0.7143,0.6758
0.7143,0.6761
0.7143,0.6790
0.7381,0.6790
0.7381,0.6861
0.7381,0.6864
0.7381,0.7158
0.7619,0.7158
0.7619,0.7347
0.7857,0.7347
0.7857,0.7547
0.7857,0.7549
0.7857,0.7607
0.7857,0.7609
0.7857,0.7725
0.8095,0.7725
0.8095,0.7795
0.8333,0.7795
0.8333,0.7864
0.8571,0.7864
0.8571,0.8069
0.8571,0.8071
0.8571,0.8217
0.8571,0.8220
0.8571,0.8252
0.8571,0.8255
0.8571,0.8395
0.8810,0.8395
0.8810,0.8613
0.8810,0.8616
0.8810,0.8698
0.9048,0.8698
0.9048,0.9016
0.9048,0.9019
0.9048,0.9236
0.9286,0.9236
0.9286,0.9308
0.9524,0.9308
0.9524,0.9438
0.9762,0.9438
0.9762,0.9905
1.0000,0.9905
1.0000,1.0000
