ROC AUC: 0.4520
FPR,TPR
0.0000,0.0000
0.0000,0.0001
0.0000,0.0005
0.0238,0.0005
0.0238,0.0035
0.0476,0.0035
0.0476,0.0052
0.0714,0.0052
0.0714,0.0090
0.0952,0.0090
0.0952,0.0145
0.1190,0.0145
0.1190,0.0373
0.1429,0.0373
0.1429,0.0423
0.1429,0.0426
0.1429,0.0497
0.1429,0.0499
0.1429,0.0594
0.1429,0.0597
0.1429,0.0628
0.1429,0.0630
0.1429,0.0713
0.1429,0.0716
0.1429,0.0847
0.1667,0.0847
0.1667,0.0857
0.1905,0.0857
0.1905,0.0897
0.1905,0.0899
0.1905,0.0913
0.1905,0.0916
0.1905,0.1131
0.2143,0.1131
0.2143,0.1209
0.2143,0.1211
0.2143,0.1272
0.2143,0.1274
0.2143,0.1277
0.2143,0.1280
0.2143,0.1293
0.2619,0.1293
0.2619,0.1345
0.2857,0.1345
0.2857,0.1351
0.2857,0.1353
0.2857,0.1355
0.2857,0.1357
0.2857,0.1379
0.2857,0.1381
0.2857,0.1460
0.2857,0.1463
0.2857,0.1513
0.3095,0.1513
0.3095,0.1636
0.3095,0.1638
0.3095,0.1669
0.3333,0.1669
0.3333,0.1681
0.3333,0.1684
0.3333,0.1723
0.3333,0.1725
0.3333,0.1757
0.3571,0.1757
0.3571,0.1775
0.3571,0.1778
0.3571,0.1828
0.3571,0.1831
0.3571,0.1842
0.3571,0.1844
0.3571,0.1871
0.3571,0.1874
0.3571,0.1886
0.3810,0.1886
0.3810,0.1993
0.3810,0.1996
0.3810,0.2123
0.3810,0.2126
0.3810,0.2223
0.3810,0.2226
0.3810,0.2333
0.3810,0.2336
0.3810,0.2448
0.3810,0.2451
0.3810,0.2706
0.3810,0.2709
0.3810,0.2771
0.3810,0.2773
0.3810,0.2993
0.4048,0.2993
0.4048,0.3049
0.4048,0.3052
0.4048,0.3057
0.4048,0.3060
0.4048,0.3072
0.4048,0.3075
0.4048,0.3160
0.4048,0.3163
0.4048,0.3212
0.4286,0.3212
0.4286,0.3243
0.4286,0.3246
0.4286,0.3291
0.4286,0.3294
0.4286,0.3377
0.4524,0.3377
0.4524,0.3402
0.4524,0.3405
0.4524,0.3451
0.4524,0.3453
0.4524,0.3570
0.4524,0.3572
0.4524,0.3642
0.4524,0.3645
0.4524,0.3662
0.4524,0.3665
0.4524,0.3676
0.4524,0.3678
0.4524,0.3685
0.4524,0.3688
0.4524,0.3829
0.4524,0.3832
0.4524,0.3851
0.4524,0.3854
0.4524,0.3908
0.4524,0.3911
0.4524,0.3930
0.4524,0.3933
0.4524,0.3954
0.4524,0.3957
0.4524,0.3962
0.4762,0.3962
0.4762,0.3989
0.4762,0.3991
0.4762,0.4139
0.4762,0.4141
0.4762,0.4148
0.4762,0.4153
0.4762,0.4171
0.4762,0.4173
0.4762,0.4176
0.4762,0.4179
0.4762,0.4227
0.4762,0.4230
0.4762,0.4342
0.4762,0.4345
0.4762,0.4416
0.4762,0.4418
0.4762,0.4425
0.5000,0.4425
0.5000,0.4447
0.5000,0.4449
0.5000,0.4608
0.5000,0.4611
0.5000,0.4669
0.5000,0.4671
0.5000,0.4706
0.5000,0.4709
0.5000,0.4817
0.5238,0.4817
0.5238,0.4840
0.5238,0.4843
0.5238,0.4890
0.5238,0.4892
0.5238,0.5002
0.5238,0.5005
0.5238,0.5018
0.5238,0.5021
0.5238,0.5037
0.5238,0.5039
0.5238,0.5077
0.5476,0.5077
0.5476,0.5147
0.5714,0.5147
0.5714,0.5294
0.5952,0.5294
0.5952,0.5421
0.5952,0.5424
0.5952,0.5531
0.5952,0.5533
0.5952,0.5689
0.5952,0.5691
0.5952,0.5740
0.5952,0.5744
0.5952,0.5777
0.5952,0.5780
0.5952,0.5798
0.5952,0.5801
0.5952,0.5810
0.5952,0.5813
0.5952,0.5997
0.6190,0.5997
0.6190,0.6241
0.6429,0.6241
0.6429,0.6292
0.6667,0.6292
0.6667,0.6300
0.6905,0.6300
0.6905,0.6362
0.6905,0.6365
0.6905,0.6405
0.7143,0.6405
0.7143,0.6493
0.7143,0.6496
0.7143,0.6871
0.7143,0.6873
0.7143,0.7217
0.7143,0.7220
0.7143,0.7323
0.7143,0.7326
0.7143,0.7509
0.7143,0.7512
0.7143,0.7711
0.7381,0.7711
0.7381,0.7757
0.7381,0.7759
0.7381,0.7771
0.7619,0.7771
0.7619,0.8111
0.7619,0.8114
0.7619,0.8161
0.7857,0.8161
0.7857,0.8264
0.8095,0.8264
0.8095,0.8340
0.8095,0.8343
0.8095,0.8710
0.8333,0.8710
0.8333,0.8861
0.8571,0.8861
0.8571,0.8908
0.8810,0.8908
0.8810,0.9139
0.9048,0.9139
0.9048,0.9193
0.9048,0.9196
0.9048,0.9511
0.9286,0.9511
0.9286,0.9523
0.9524,0.9523
0.9524,0.9695
0.9762,0.9695
0.9762,0.9766
1.0000,0.9766
1.0000,1.0000
